Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Sauce,Chrome 123.0.0.0,,,27-03-2024 22:41:56,27-03-2024 22:44:09,"2m - 12,930s",PASSED
,,,,,,,
Test Cases/Login_Sauce_01,Chrome 123.0.0.0,,,27-03-2024 22:41:56,27-03-2024 22:42:03,"6,782s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 22:41:57,27-03-2024 22:41:59,"1,732s",PASSED
"navigateToUrl(""https://www.saucedemo.com"")",Chrome 123.0.0.0,,,27-03-2024 22:41:59,27-03-2024 22:42:00,"0,956s",PASSED
"setText(findTestObject(""Login_Page/input_Swag Labs_user-name""), Username)",Chrome 123.0.0.0,,,27-03-2024 22:42:00,27-03-2024 22:42:01,"1,916s",PASSED
"setText(findTestObject(""Login_Page/input_Swag Labs_password""), Password)",Chrome 123.0.0.0,,,27-03-2024 22:42:01,27-03-2024 22:42:02,"0,665s",PASSED
"click(findTestObject(""Login_Page/input_Epic sadface Username is required_login-button""))",Chrome 123.0.0.0,,,27-03-2024 22:42:02,27-03-2024 22:42:02,"0,352s",PASSED
"verifyElementText(findTestObject(""Login_Page/h3_Epic sadface Username is required""), VerifyText)",Chrome 123.0.0.0,,,27-03-2024 22:42:02,27-03-2024 22:42:03,"0,527s",PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 22:42:03,27-03-2024 22:42:03,"0,126s",PASSED
,,,,,,,
Test Cases/Login_Sauce_01,Chrome 123.0.0.0,,,27-03-2024 22:42:03,27-03-2024 22:42:08,"4,947s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 22:42:03,27-03-2024 22:42:04,"0,645s",PASSED
"navigateToUrl(""https://www.saucedemo.com"")",Chrome 123.0.0.0,,,27-03-2024 22:42:04,27-03-2024 22:42:05,"0,644s",PASSED
"setText(findTestObject(""Login_Page/input_Swag Labs_user-name""), Username)",Chrome 123.0.0.0,,,27-03-2024 22:42:05,27-03-2024 22:42:07,"2,050s",PASSED
"setText(findTestObject(""Login_Page/input_Swag Labs_password""), Password)",Chrome 123.0.0.0,,,27-03-2024 22:42:07,27-03-2024 22:42:07,"0,604s",PASSED
"click(findTestObject(""Login_Page/input_Epic sadface Username is required_login-button""))",Chrome 123.0.0.0,,,27-03-2024 22:42:07,27-03-2024 22:42:07,"0,327s",PASSED
"verifyElementText(findTestObject(""Login_Page/h3_Epic sadface Username is required""), VerifyText)",Chrome 123.0.0.0,,,27-03-2024 22:42:07,27-03-2024 22:42:08,"0,515s",PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 22:42:08,27-03-2024 22:42:08,"0,128s",PASSED
,,,,,,,
Test Cases/Login_Sauce_01,Chrome 123.0.0.0,,,27-03-2024 22:42:08,27-03-2024 22:42:13,"5,203s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 22:42:08,27-03-2024 22:42:09,"0,719s",PASSED
"navigateToUrl(""https://www.saucedemo.com"")",Chrome 123.0.0.0,,,27-03-2024 22:42:09,27-03-2024 22:42:10,"0,902s",PASSED
"setText(findTestObject(""Login_Page/input_Swag Labs_user-name""), Username)",Chrome 123.0.0.0,,,27-03-2024 22:42:10,27-03-2024 22:42:12,"1,927s",PASSED
"setText(findTestObject(""Login_Page/input_Swag Labs_password""), Password)",Chrome 123.0.0.0,,,27-03-2024 22:42:12,27-03-2024 22:42:12,"0,626s",PASSED
"click(findTestObject(""Login_Page/input_Epic sadface Username is required_login-button""))",Chrome 123.0.0.0,,,27-03-2024 22:42:12,27-03-2024 22:42:13,"0,319s",PASSED
"verifyElementText(findTestObject(""Login_Page/h3_Epic sadface Username is required""), VerifyText)",Chrome 123.0.0.0,,,27-03-2024 22:42:13,27-03-2024 22:42:13,"0,528s",PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 22:42:13,27-03-2024 22:42:13,"0,120s",PASSED
,,,,,,,
Test Cases/Login_Sauce_01,Chrome 123.0.0.0,,,27-03-2024 22:42:13,27-03-2024 22:42:48,"34,674s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 22:42:13,27-03-2024 22:42:14,"0,753s",PASSED
"navigateToUrl(""https://www.saucedemo.com"")",Chrome 123.0.0.0,,,27-03-2024 22:42:14,27-03-2024 22:42:15,"0,735s",PASSED
